Temporada,Pos,Equipo,PJ,G,E,P,Pts,GF,GC,Dif
1993-94,1,Man United,42,27,11,4,92,80,38,+42
1993-94,2,Blackburn,42,25,9,8,84,63,36,+27
1993-94,3,Newcastle,42,23,8,11,77,82,41,+41
1993-94,4,Arsenal,42,18,17,7,71,53,28,+25
1993-94,5,Leeds,42,18,16,8,70,65,39,+26
1993-94,6,Wimbledon,42,18,11,13,65,56,53,+3
1993-94,7,Sheffield Weds,42,16,16,10,64,76,54,+22
1993-94,8,Liverpool,42,17,9,16,60,59,55,+4
1993-94,9,QPR,42,16,12,14,60,62,61,+1
1993-94,10,Aston Villa,42,15,12,15,57,46,50,-4
1993-94,11,Coventry,42,14,14,14,56,43,45,-2
1993-94,12,Norwich,42,12,17,13,53,65,61,+4
1993-94,13,West Ham,42,13,13,16,52,47,58,-11
1993-94,14,Chelsea,42,13,12,17,51,49,53,-4
1993-94,15,Tottenham,42,11,12,19,45,54,59,-5
1993-94,16,Man City,42,9,18,15,45,38,49,-11
1993-94,17,Everton,42,12,8,22,44,42,63,-21
1993-94,18,Southampton,42,12,7,23,43,49,66,-17
1993-94,19,Ipswich,42,9,16,17,43,35,58,-23
1993-94,20,Sheffield United,42,8,18,16,42,42,60,-18
1993-94,21,Oldham,42,9,13,20,40,42,68,-26
1993-94,22,Swindon,42,5,15,22,30,47,100,-53
1994-95,1,Blackburn,42,27,8,7,89,80,39,+41
1994-95,2,Man United,42,26,10,6,88,77,28,+49
1994-95,3,Nott'm Forest,42,22,11,9,77,72,43,+29
1994-95,4,Liverpool,42,21,11,10,74,65,37,+28
1994-95,5,Leeds,42,20,13,9,73,59,38,+21
1994-95,6,Newcastle,42,20,12,10,72,67,47,+20
1994-95,7,Tottenham,42,16,14,12,62,66,58,+8
1994-95,8,QPR,42,17,9,16,60,61,59,+2
1994-95,9,Wimbledon,42,15,11,16,56,48,65,-17
1994-95,10,Southampton,42,12,18,12,54,61,63,-2
1994-95,11,Chelsea,42,13,15,14,54,50,55,-5
1994-95,12,Arsenal,42,13,12,17,51,52,49,+3
1994-95,13,Sheffield Weds,42,13,12,17,51,49,57,-8
1994-95,14,West Ham,42,13,11,18,50,44,48,-4
1994-95,15,Everton,42,11,17,14,50,44,51,-7
1994-95,16,Coventry,42,12,14,16,50,44,62,-18
1994-95,17,Man City,42,12,13,17,49,53,64,-11
1994-95,18,Aston Villa,42,11,15,16,48,51,56,-5
1994-95,19,Crystal Palace,42,11,12,19,45,34,49,-15
1994-95,20,Norwich,42,10,13,19,43,37,54,-17
1994-95,21,Leicester,42,6,11,25,29,45,80,-35
1994-95,22,Ipswich,42,7,6,29,27,36,93,-57
1995-96,1,Man United,38,25,7,6,82,73,35,+38
